book	id	star	time	likenum	body
天才在左 疯子在右	auntbear	allstar10	2013-07-29	1455	带着了解精神病群体的期待看这本书，前几篇还像回事儿，越往后就变成鬼故事和科幻小说了，严重的被愚弄感，读书评才知道这本书最初不过是天涯上鬼话栏目的帖子而已。打着采访手记的旗号，利用精神病患的噱头胡扯，编辑和作者都十分缺德！
天才在左 疯子在右	warfalcon	allstar10	2014-10-09	886	这是本起点小说，而不是纪实文学，如果你是一个科幻小说爱好者，会发现太多熟悉的情节和故事，过于神话精神病人了。全书都在编故事，对量子物理有兴趣，不如去看看《上帝掷骰子吗》
天才在左 疯子在右	smallbad	allstar10	2013-11-27	723	给这本网路小说打四星以上的文化水平应该不高，没看过什么硬科幻，也不懂精神分析。真以为这是“访谈录”的大约需要去治疗一下智商癌晚期。
天才在左 疯子在右	ankazen	allstar20	2012-06-29	674	这本书证明半吊子这种人最危险。
天才在左 疯子在右	lecia	allstar10	2012-12-21	611	瞎编乱造，其他领域不敢说，但我敢说高铭就心理学上连个系统的了解都欠缺，编造的色彩很浓厚，还要打着是实访记录的名义。他得采访多少个精神病患者才能挑出这么群极其个别的案例啊？多到能出一本书？他是以为所有患者都必然并且只有delusion的症状吧？最不能接受的是评分竟然这么高，还有一大堆人维护着不让人提出质疑。如果这说明是一本科幻之类的小说，我愿意给三星，但这“精神病人访谈手记”实在太特么闹心了。
天才在左 疯子在右	44175604	allstar10	2013-08-09	361	已经将此书列为甄别傻逼的重要参考之一。
天才在左 疯子在右	eiris	allstar10	2014-05-17	309	这本书是作者看了量子物理简史、美剧、日漫之后的意淫，不严谨的瞎编乱造成分太重，写作水平过于随意（后来发现果然曾是网贴），当故事看是可以的，别当真事儿YY啊，被人揪辫子就拿“这个世界有很多不可解释的事情”或者“想象力才是关键”来当挡箭牌，你是中学生么？总而言之，推荐的人知识面都太磕碜了。
天才在左 疯子在右	chenchangxing	allstar10	2015-07-02	286	8.4分！？你们读书太少，不要吓我。
天才在左 疯子在右	54831320	allstar10	2015-04-07	297	1.“目前任职于某公司项目总监” ——请问那是怎么有大段时间定期探访病人的？2.“成年后曾一度沉迷于量子物理”——请问那为何在《四维虫子》中又说自己恶补量子物理？ 3.全书没一处说到自己采访的精神病院的具体信息，也没说到自己是经过多少次探访，如何定性分析。有的全是对话与些许动作的描述。4.过度神化精神病患者。书中一半的患者都知道自己身处精神病院，神智都很清醒，逻辑都很缜密。差别是，一半的患者被描写成多疑、神经质，另一半的被描写成傲慢不羁。因此，作为同样死心眼一根筋的我，虽然很不想这样刻薄，但我有理由怀疑这本书的真实性。
天才在左 疯子在右	wenzel	allstar20	2012-03-06	203	即使书中访谈的内容是真实的 大概也是读了冯内古特 看过致命id 扫过霍金 以及更多科幻科普书及悬疑电影之后疯掉的人的访谈 或许还包括伊藤润二的漫画 因为这本书中没有任何新的东西 文字也是知音体 猎奇性停留在最低等级 甚至连装帧 纸张 排版都尔尔 根本找不到任何可读点 作者在后记中已说有不少是编造 很多是真实案例 预估真实案例也是来自那些“根据真实事件”改编的电影 而编造的 则是那些虚构的国内外作品了 同是国内访谈类作品 毕淑敏和李银河的要好得多 相当失望 甚至连无聊时都不值得一读
天才在左 疯子在右	4183428	allstar20	2014-05-02	180	有几个故事还不错，但整部文字还是萦绕着傻逼的味道
天才在左 疯子在右	phinoda	allstar10	2013-06-10	149	哗。众。取。宠。本质跟《藏地密码》这种猎奇文学一样，就老老实实上架猎奇文学当厕所读物，不要弄得跟纪实文学一样特么来误导大众好么。浮躁的人真可怕。
天才在左 疯子在右	kirk1226	allstar30	2014-04-14	132	先不说是真是假，内容其实挺有意思，只是我很烦作者每一章节后的鸡汤感悟
天才在左 疯子在右	48743766	none	2014-02-26	118	怎么可以叫访谈手记呢?明明是小说.
天才在左 疯子在右	lizn007	allstar20	2011-08-11	86	猎奇意淫
天才在左 疯子在右	thelongestyard	allstar50	2011-10-01	174	从第一个访谈开始，用了两天的时间发疯版的读完，怎么说呢？意犹未尽。面对这些所谓的精神病患者，他们的思维逻辑严密到一环扣一环，从哲学到宗教、从传统物理学到量子力学，他们的关注与思辨令捧着书的正常人汗颜。我不停的在问自己，究竟是他们有病还只是因为我们想得太少、太过肤浅？究竟什么才算是正常人？就是群体的认可？那究竟什么才算是精神病患者？只是被多数人定义了的一小部分？
天才在左 疯子在右	maybeland	allstar10	2010-09-10	72	彻头彻尾蒙事儿的书，就是小说
天才在左 疯子在右	autumn83	allstar30	2012-01-04	95	1.有明显虚构成分的书请不要说成是访谈手记。 2.采访的病人都太高端，成天琢磨终极宇宙，有自己完整的逻辑和世界观，我不相信精神病人都这么极品。3.一定要当做鬼故事去读，不然看完准成精神病。
天才在左 疯子在右	MeloTheFisher	allstar30	2013-09-28	60	我对这本书的“访谈”这两个字感到极大的怀疑，无非就是编排得像那么回事儿而已
天才在左 疯子在右	shockmu	allstar30	2012-06-12	74	别当真看。
天才在左 疯子在右	67876993	allstar10	2015-11-08	57	以小说来看待还行，出版社的无良编辑把书归结到心理学分类就有点呵呵了，一星给分类。
天才在左 疯子在右	bebop9	allstar10	2014-07-26	47	一个中二民哲在自说自话，写得太差。小魔仙要跟我讨论剧本，要我看这个…擦，四十几篇，把我看吐了。
天才在左 疯子在右	saireny	allstar10	2012-10-11	53	如果可以给0星我一定给0星。
天才在左 疯子在右	jinkai719	allstar10	2012-01-16	42	不喜欢这样的书籍，只是满足人的猎奇
天才在左 疯子在右	charlizheng	allstar10	2016-03-22	42	地摊文学，瞎编乱造出来的，建议不要读。
天才在左 疯子在右	kingszar	allstar10	2013-08-09	37	Disgusting。打着访谈纪实的旗号，以精神病人作噱头编故事来满足读者猎奇心理，无耻。
天才在左 疯子在右	Nocturn	allstar10	2012-09-17	45	所以说作家是精神障碍患病率最高的人群之一。
天才在左 疯子在右	jiaoxiaoyu	allstar50	2013-07-19	82	看这本书的时候，我要不断地提醒自己，这是一群疯子。
天才在左 疯子在右	5054748	allstar10	2012-03-18	34	垃圾。
天才在左 疯子在右	Luna-cat	allstar40	2012-04-04	59	谁不是精神病呢，可能他们只是比我们更坚定更执着而已
天才在左 疯子在右	mymx	allstar50	2012-06-27	34	激动，恐惧，感动……看这本书没有办法理性，尽管这是一本这么理性的书，颠覆的，更坚定的，三观的颠覆好似已经是小事，我思故我在，当我思已经超出了我思，他们就从天才变成了疯子，每个人都是精神病，你是，他是，我也是，所以，大家谁也别瞧不起谁！大家只是精神病的出发点不同而已。
天才在左 疯子在右	asoloman	allstar20	2015-11-18	22	不能理解力挺这本书的人的想法
天才在左 疯子在右	putengfei	allstar50	2010-06-18	29	这书的恐怖之处就是……那些精神病人所说的世界观方法论以及有的人具有的特异功能，我能赞同其中的相当一部分！！！555……这个很难用语言形容，看了才知道。
天才在左 疯子在右	kidcby	allstar40	2012-07-17	40	甭管事件真假与否，能够刷新我认识和观念的书就是好书。保持独立的思考
天才在左 疯子在右	jinduoduo	allstar50	2010-05-04	33	当怪谈看看挺好的，但是一旦较真就没劲了
天才在左 疯子在右	wzcjojo	allstar20	2014-12-06	17	大部分虚构，根本就是小说。
天才在左 疯子在右	xryutu	allstar20	2010-06-14	12	编。
天才在左 疯子在右	man-mans	allstar40	2013-11-18	19	不过是我们这个世界的人无法容忍有另一个世界的人的存在，罢了
天才在左 疯子在右	mlsslm777	allstar40	2010-02-28	19	我不会看完后也变成神经病吧
天才在左 疯子在右	viking7117	allstar30	2014-04-27	11	书里一些“精神病患者”看世界的角度很有意思，但这本书只适合当小说来看，名字太噱头了
天才在左 疯子在右	1273330	allstar10	2012-08-23	11	这就是本小说，还是很烂的那种。
天才在左 疯子在右	linalihuang	allstar30	2013-11-22	14	故事还是颇有趣的，作者反复提及生命存在形式的多样性很有意思，石头生命、松散生命和细菌智能戳中了我。但是装作自己是严肃访谈就不对了嘛。
天才在左 疯子在右	Azeril	allstar50	2012-01-22	15	大致读完 想说的话太多了 一时反倒不知从何说起。里面所访谈的人 不是为时为世所不容 而困居精神病院 就是陷入种种可以划定心理异常的家伙 由此导致的是本书的视角独特 带给自己很多新鲜的体验；而那些人的语言能力 那些奇异的事件 着实惊艳了我的眼球一把 至于说更深层的理论 从微小世界到洪荒宇宙 从时间的定义到灵魂的有无 则不由让我震撼 而后是疑惑 精神病人 疯子？不 并不是这么简单。他们拥有一个独立的世界 这反倒让我不由欣羡呢
天才在左 疯子在右	linulaoyao	allstar50	2013-06-04	15	我觉得，我很有精神病的潜质，之所以到现在还没送进医院真是意志力顽强。
天才在左 疯子在右	shunong	allstar30	2010-06-19	12	晚上读起来跟鬼故事似的。。。。但是整本看下来觉着作者在故弄玄虚而且欲说还休，不真诚。
天才在左 疯子在右	2949559	allstar40	2014-08-08	5	認真地說，誰能肯定自己是正常的。不知道案例是否真实。
天才在左 疯子在右	59291955	allstar40	2013-11-15	12	非常毁三观的一本书，当心理学或者科幻短篇小说集看都行。
天才在左 疯子在右	chenleely	none	2011-09-17	13	如果问「果冻」怎么来的，是不是钻牛角尖了
天才在左 疯子在右	zhaoxiaofan	none	2014-03-09	14	看完有种作者在扯淡的感觉。
天才在左 疯子在右	kfcmoon	allstar10	2013-05-28	8	并不关注人，而过分关注新奇。最重要的，作者没有坦诚地讲本书是虚构的，书商同时应该检讨。
天才在左 疯子在右	LLLNESSLLLUSION	allstar10	2014-11-22	8	作者有想象力，这很好，里头很多世界观我也觉得有趣，但硬要用纪实来做噱头是怎么回事？再问一次，作者你真的觉得读者都是傻逼么？什么非虚构什么亲身走访什么访谈录，这你麻痹就是本还挺有趣的小说而已！我这种纯有点兴趣的心理学门外汉都看得出来！何况那么多访谈虽然内容不一样但是路数都同方向，一个人的笔法是没办法改变的，你可长点儿心吧作者
天才在左 疯子在右	abjkl	allstar30	2010-07-21	9	我以为我在看一本很认真的科普杂志，结果还是天涯的帖子，555，摔！
天才在左 疯子在右	bighead	allstar40	2010-03-02	5	“疯子”们的世界很自洽，逻辑很清楚，表达很犀利。
天才在左 疯子在右	tearwall	allstar10	2011-04-03	5	witch doctor is on the run.
天才在左 疯子在右	jiongcaicai	allstar50	2015-09-22	11	读完前三章（确切地说是1、3章）就可以断定这是一本奇书。光是作者借“脑洞已开”的精神病人表达自己的世界观的手法，也足以让人捶胸顿足几秒钟。很多读者谩骂作者打着访谈的幌子写科幻小说，这个噱头确实有些缺德，出版社和编辑也有责任。然而如果抱着“自己多少也有精神病”的观点来看，那么这种把主题精神贯穿封面封底的consistency也不是不值得赞赏的。毕竟对于吃货来说，只要水果新鲜量大份足，用桶装一个果“盘”上来岂不是更好？“正常”的读者经常会讨论《厚黑学》的“厚黑”到底是技能还是伎俩，然而宗吾所表达的可能压根就不是这档子卵事。
天才在左 疯子在右	1351879	allstar50	2013-01-27	6	非常好的一本了解精神病人（主要是精神分裂者）内心世界的一本书。当然，［这不是科普书籍］。但精神病患者并不是什么异类生物；他们是人，除了他们可能有一点精神上的缺陷，跟有的人断手断脚并没什么不同。☆他们也可以也理应获得其他人的理解。类似的书籍应该出版更多，这对于对精神病患者的去污名化很重要。
天才在左 疯子在右	wanmer	allstar20	2012-01-14	6	不知道为什么会有那么高的豆瓣评分。。。 好多故事都很突兀。也没有个完整的结尾。是，也许因为是个记录，本来就没有个完整的结尾。可是，我觉得上面好多东西可能会带给人误导。。至于为什么，我也说不好。。
